kode,nama,kategori,harga_baru,satuan,status,catatan
AY001,Ayam cut up 90-100 gr,AYAM POTONG,34200,kg,AKTIF, dari Japfa 31 JUL-6 AGS (90-110gr isi 10 pcs)
AY002,Fillet dada tanpa kulit,Fillet,46200,kg,AKTIF,dari Japfa 31 JUL-6 AGS
AY003,Fillet dada dengan kulit,Fillet,43200,kg,AKTIF,dari Japfa 31 JUL-6 AGS
AY004,Fillet paha tanpa kulit,Fillet,45200,kg,AKTIF,dari Japfa 31 JUL-6 AGS
AY005,Fillet paha dengan kulit,Fillet,43200,kg,AKTIF,dari Japfa 31 JUL-6 AGS
AY006,Paha bawah isi 10-12 / kilo,Lainnya,42000,kg,AKTIF,dari Japfa 31 JUL-6 AGS (Paha Bawah/Paha Pentung)
AY007,Daging giling / MBM,Lainnya,22000,kg,AKTIF,dari Japfa 31 JUL-6 AGS (Giling/MDM)
AY008,Ayam utuh size S 0.4-0.8kg,AYAM UTUH/KARKAS,36000,kg,AKTIF,Baru dari Japfa 31 JUL-6 AGS
AY009,Ayam utuh size M 0.9-1.2kg,AYAM UTUH/KARKAS,34000,kg,AKTIF,Baru dari Japfa 31 JUL-6 AGS
AY010,Ayam utuh size L 1.3-1.6kg up,AYAM UTUH/KARKAS,33000,kg,AKTIF,Baru dari Japfa 31 JUL-6 AGS
AY011,Cut up 40-60gr isi 20 pcs,AYAM POTONG,32000,kg,AKTIF,Baru dari Japfa 31 JUL-6 AGS (Frozen)
AY012,Cut up 70-90gr isi 12 pcs,AYAM POTONG,34200,kg,AKTIF,Baru dari Japfa 31 JUL-6 AGS
